OPOName,OTCName,OTCServiceList,OPOProvider#,Address,City,State,ZIP,OPOTelephone#,OTCCode,Address,City,ZIP,OrganTransplantationCenterServiceTypeDescription,CommonRegionCode,CommonRegionName,CommonStateName,CommonStateAbbreviation,CommonStateFIPSCode,CommonStateCountyFIPSCode,CommonCountyName,CommonCityNamewithStateAbbreviation,CommonCongressionalDistrictName,CommonCongressNumberText,CommonStateFIPSCodeCongressionalDistrictNumber,CommonPostalCode,Longitude,Latitude,DataWarehouseRecordCreateDate,DataWarehouseRecordCreateDateText
LifeNet Health,University of Virginia Health Sciences Center," Heart, Kidney, Liver, Lung, Pancreas, Pancreas Islet",49P001,1864 Concert Dr,Virginia Beach,VA,23453-1903,757-464-4761,VAUV,1215 Lee St,Charlottesville,22908,Pancreas,3,Region 3,Virginia,VA,51,51540,"Charlottesville City, VA","Charlottesville, VA",Virginia District 05,115,5105,22908,-78.49864594,38.03199406,10/25/2018,10/25/2018
LifeNet Health,University of Virginia Health Sciences Center," Heart, Kidney, Liver, Lung, Pancreas, Pancreas Islet",49P001,1864 Concert Dr,Virginia Beach,VA,23453-1903,757-464-4761,VAUV,1215 Lee St,Charlottesville,22908,Pancreas Islet,3,Region 3,Virginia,VA,51,51540,"Charlottesville City, VA","Charlottesville, VA",Virginia District 05,115,5105,22908,-78.49864594,38.03199406,10/25/2018,10/25/2018
LifeNet Health,University of Virginia Health Sciences Center," Heart, Kidney, Liver, Lung, Pancreas, Pancreas Islet",49P001,1864 Concert Dr,Virginia Beach,VA,23453-1903,757-464-4761,VAUV,1215 Lee St,Charlottesville,22908,Liver,3,Region 3,Virginia,VA,51,51540,"Charlottesville City, VA","Charlottesville, VA",Virginia District 05,115,5105,22908,-78.49864594,38.03199406,10/25/2018,10/25/2018
LifeNet Health,University of Virginia Health Sciences Center," Heart, Kidney, Liver, Lung, Pancreas, Pancreas Islet",49P001,1864 Concert Dr,Virginia Beach,VA,23453-1903,757-464-4761,VAUV,1215 Lee St,Charlottesville,22908,Heart,3,Region 3,Virginia,VA,51,51540,"Charlottesville City, VA","Charlottesville, VA",Virginia District 05,115,5105,22908,-78.49864594,38.03199406,10/25/2018,10/25/2018
LifeNet Health,University of Virginia Health Sciences Center," Heart, Kidney, Liver, Lung, Pancreas, Pancreas Islet",49P001,1864 Concert Dr,Virginia Beach,VA,23453-1903,757-464-4761,VAUV,1215 Lee St,Charlottesville,22908,Lung,3,Region 3,Virginia,VA,51,51540,"Charlottesville City, VA","Charlottesville, VA",Virginia District 05,115,5105,22908,-78.49864594,38.03199406,10/25/2018,10/25/2018
Center for Donation and Transplant,The University of Vermont Medical Center, Kidney,33P004,218 Great Oaks Blvd,Albany,NY,12203-5969,518-262-5606,VTMC,111 Colchester Ave,Burlington,5401,Kidney,1,Region 1,Vermont,VT,50,50007,"Chittenden County, VT","Burlington, VT",Vermont At Large,115,5000,5401,-73.19654936,44.48066858,10/25/2018,10/25/2018
LifeCenter Northwest,Seattle Children's Hospital," Heart, Intestine, Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WACH,4800 Sand Point Way NE,Seattle,98105,Kidney,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98105,-122.2833776,47.66421195,10/25/2018,10/25/2018
LifeCenter Northwest,Seattle Children's Hospital," Heart, Intestine, Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WACH,4800 Sand Point Way NE,Seattle,98105,Pancreas,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98105,-122.2833776,47.66421195,10/25/2018,10/25/2018
LifeCenter Northwest,Seattle Children's Hospital," Heart, Intestine, Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WACH,4800 Sand Point Way NE,Seattle,98105,Liver,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98105,-122.2833776,47.66421195,10/25/2018,10/25/2018
LifeCenter Northwest,Seattle Children's Hospital," Heart, Intestine, Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WACH,4800 Sand Point Way NE,Seattle,98105,Intestine,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98105,-122.2833776,47.66421195,10/25/2018,10/25/2018
LifeCenter Northwest,Seattle Children's Hospital," Heart, Intestine, Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WACH,4800 Sand Point Way NE,Seattle,98105,Heart,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98105,-122.2833776,47.66421195,10/25/2018,10/25/2018
LifeCenter Northwest,Providence Sacred Heart Medical Center & Children's Hospital," Heart, Kidney, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASH,101 W 8th Ave,Spokane,99204,Kidney,10,Region 10,Washington,WA,53,53063,"Spokane County, WA","Spokane, WA",Washington District 05,115,5305,99204,-117.4130634,47.64834448,10/25/2018,10/25/2018
LifeCenter Northwest,Providence Sacred Heart Medical Center & Children's Hospital," Heart, Kidney, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASH,101 W 8th Ave,Spokane,99204,Pancreas,10,Region 10,Washington,WA,53,53063,"Spokane County, WA","Spokane, WA",Washington District 05,115,5305,99204,-117.4130634,47.64834448,10/25/2018,10/25/2018
LifeCenter Northwest,Providence Sacred Heart Medical Center & Children's Hospital," Heart, Kidney, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASH,101 W 8th Ave,Spokane,99204,Heart,10,Region 10,Washington,WA,53,53063,"Spokane County, WA","Spokane, WA",Washington District 05,115,5305,99204,-117.4130634,47.64834448,10/25/2018,10/25/2018
LifeCenter Northwest,Swedish Medical Center," Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASM,747 Broadway,Seattle,98122,Kidney,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 09,115,5309,98122,-122.3208128,47.608576,10/25/2018,10/25/2018
LifeCenter Northwest,Swedish Medical Center," Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASM,747 Broadway,Seattle,98122,Pancreas,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 09,115,5309,98122,-122.3208128,47.608576,10/25/2018,10/25/2018
LifeCenter Northwest,Swedish Medical Center," Kidney, Liver, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WASM,747 Broadway,Seattle,98122,Liver,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 09,115,5309,98122,-122.3208128,47.608576,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Kidney,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Pancreas,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Liver,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Intestine,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Heart,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Lung,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,University of Washington Medical Center," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Vascularized Composite Allograft (VCA)",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAUW,1959 NE Pacific St,Seattle,98195,Vascularized Composite Allograft (VCA),10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98195,-122.3071548,47.6502295,10/25/2018,10/25/2018
LifeCenter Northwest,Virginia Mason Medical Center," Kidney, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAVM,1100 9th Ave,Seattle,98101,Kidney,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98101,-122.3282571,47.60941406,10/25/2018,10/25/2018
LifeCenter Northwest,Virginia Mason Medical Center," Kidney, Pancreas",50P003,3650 131st Ave SE Ste 200,Bellevue,WA,98006-1395,425-201-6563,WAVM,1100 9th Ave,Seattle,98101,Pancreas,10,Region 10,Washington,WA,53,53033,"King County, WA","Seattle, WA",Washington District 07,115,5307,98101,-122.3282571,47.60941406,10/25/2018,10/25/2018
Wisconsin Donor Network,Children's Hospital of Wisconsin," Heart, Kidney, Liver",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WICH,9000 W Wisconsin Ave,Milwaukee,53226,Kidney,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02480129,43.03848938,10/25/2018,10/25/2018
Wisconsin Donor Network,Children's Hospital of Wisconsin," Heart, Kidney, Liver",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WICH,9000 W Wisconsin Ave,Milwaukee,53226,Liver,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02480129,43.03848938,10/25/2018,10/25/2018
Wisconsin Donor Network,Children's Hospital of Wisconsin," Heart, Kidney, Liver",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WICH,9000 W Wisconsin Ave,Milwaukee,53226,Heart,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02480129,43.03848938,10/25/2018,10/25/2018
Wisconsin Donor Network,Froedtert Memorial Lutheran Hospital," Heart, Kidney, Liver, Lung, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISE,9200 W Wisconsin Ave,Milwaukee,53226,Kidney,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02869358,43.03836349,10/25/2018,10/25/2018
Wisconsin Donor Network,Froedtert Memorial Lutheran Hospital," Heart, Kidney, Liver, Lung, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISE,9200 W Wisconsin Ave,Milwaukee,53226,Pancreas,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02869358,43.03836349,10/25/2018,10/25/2018
Wisconsin Donor Network,Froedtert Memorial Lutheran Hospital," Heart, Kidney, Liver, Lung, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISE,9200 W Wisconsin Ave,Milwaukee,53226,Liver,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02869358,43.03836349,10/25/2018,10/25/2018
Wisconsin Donor Network,Froedtert Memorial Lutheran Hospital," Heart, Kidney, Liver, Lung, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISE,9200 W Wisconsin Ave,Milwaukee,53226,Heart,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02869358,43.03836349,10/25/2018,10/25/2018
Wisconsin Donor Network,Froedtert Memorial Lutheran Hospital," Heart, Kidney, Liver, Lung, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISE,9200 W Wisconsin Ave,Milwaukee,53226,Lung,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53226,-88.02869358,43.03836349,10/25/2018,10/25/2018
Wisconsin Donor Network,Aurora St. Luke's Medical Center," Heart, Kidney, Liver, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISL,2900 W Oklahoma Ave,Milwaukee,53215,Kidney,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53215,-87.94943116,42.98858948,10/25/2018,10/25/2018
Wisconsin Donor Network,Aurora St. Luke's Medical Center," Heart, Kidney, Liver, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISL,2900 W Oklahoma Ave,Milwaukee,53215,Pancreas,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53215,-87.94943116,42.98858948,10/25/2018,10/25/2018
Wisconsin Donor Network,Aurora St. Luke's Medical Center," Heart, Kidney, Liver, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISL,2900 W Oklahoma Ave,Milwaukee,53215,Liver,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53215,-87.94943116,42.98858948,10/25/2018,10/25/2018
Wisconsin Donor Network,Aurora St. Luke's Medical Center," Heart, Kidney, Liver, Pancreas",52P002,638 N 18th St,Milwaukee,WI,53233-2121,414-937-6999,WISL,2900 W Oklahoma Ave,Milwaukee,53215,Heart,5,Region 5,Wisconsin,WI,55,55079,"Milwaukee County, WI","Milwaukee, WI",Wisconsin District 04,115,5504,53215,-87.94943116,42.98858948,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Kidney,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Pancreas,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Pancreas Islet,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Liver,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Intestine,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Heart,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
UW Health Organ and Tissue Donation,University of Wisconsin Hospital and Clinics," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",52P001,450 Science Dr Ste 220,Madison,WI,53711-1169,608-265-0356,WIUW,600 Highland Ave,Madison,53792,Lung,5,Region 5,Wisconsin,WI,55,55025,"Dane County, WI","Madison, WI",Wisconsin District 02,115,5502,53792,-89.4290914,43.0759982,10/25/2018,10/25/2018
Center for Organ Recovery and Education,Charleston Area Medical Center, Kidney,39P002,204 Sigma Dr,Pittsburgh,PA,15238,412-963-3550,WVCA,501 Morris St,Charleston,25301,Kidney,3,Region 3,West Virginia,WV,54,54039,"Kanawha County, WV","Charleston, WV",West Virginia District 02,115,5402,25301,-81.62616961,38.34715229,10/25/2018,10/25/2018
Alabama Organ Center,Children's of Alabama," Heart, Kidney, Liver",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALCH,1600 7th Ave S,Birmingham,35233,Kidney,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,-86.8048235,33.50351964,10/25/2018,10/25/2018
Alabama Organ Center,Children's of Alabama," Heart, Kidney, Liver",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALCH,1600 7th Ave S,Birmingham,35233,Liver,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,-86.8048235,33.50351964,10/25/2018,10/25/2018
Alabama Organ Center,Children's of Alabama," Heart, Kidney, Liver",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALCH,1600 7th Ave S,Birmingham,35233,Heart,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,-86.8048235,33.50351964,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Kidney,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Pancreas,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Pancreas Islet,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Liver,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Intestine,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Heart,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,University of Alabama Hospital," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALUA,619 20th Ave S,Birmingham,35205,Lung,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,-86.81463676,33.48393034,10/25/2018,10/25/2018
Alabama Organ Center,Birmingham VA Medical Center, Kidney,01P001,502 20th St S,Birmingham,AL,35233-2028,205-731-9200,ALVA,700 19th St S,Birmingham,35233,Kidney,4,Region 4,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,-86.80125286,33.50507976,10/25/2018,10/25/2018
Arkansas Regional Organ Recovery Agency,Baptist Medical Center, Heart,04P001,1701 Aldersgate Rd Ste 4,Little Rock,AR,72205-6675,501-907-9150,ARBH,I-630 E,Little Rock,72205,Heart,6,Region 6,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,-92.34247903,34.74498276,10/25/2018,10/25/2018
Arkansas Regional Organ Recovery Agency,Arkansas Children's Hospital," Heart, Kidney",04P001,1701 Aldersgate Rd Ste 4,Little Rock,AR,72205-6675,501-907-9150,ARCH,800 Marshall St,Little Rock,72202,Kidney,6,Region 6,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72202,-92.29152689,34.74345911,10/25/2018,10/25/2018
Arkansas Regional Organ Recovery Agency,Arkansas Children's Hospital," Heart, Kidney",04P001,1701 Aldersgate Rd Ste 4,Little Rock,AR,72205-6675,501-907-9150,ARCH,800 Marshall St,Little Rock,72202,Heart,6,Region 6,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72202,-92.29152689,34.74345911,10/25/2018,10/25/2018
Arkansas Regional Organ Recovery Agency,UAMS Medical Center," Kidney, Liver",04P001,1701 Aldersgate Rd Ste 4,Little Rock,AR,72205-6675,501-907-9150,ARUA,4301 W Markham St,Little Rock,72205,Kidney,6,Region 6,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,-92.32074491,34.75148943,10/25/2018,10/25/2018
Arkansas Regional Organ Recovery Agency,UAMS Medical Center," Kidney, Liver",04P001,1701 Aldersgate Rd Ste 4,Little Rock,AR,72205-6675,501-907-9150,ARUA,4301 W Markham St,Little Rock,72205,Liver,6,Region 6,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,-92.32074491,34.75148943,10/25/2018,10/25/2018
Donor Network of Arizona,Phoenix Children's Hospital," Heart, Kidney, Liver",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZCH,1919 E Thomas Rd,Phoenix,85016,Kidney,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,-112.040433,33.48022652,10/25/2018,10/25/2018
Donor Network of Arizona,Phoenix Children's Hospital," Heart, Kidney, Liver",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZCH,1919 E Thomas Rd,Phoenix,85016,Liver,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,-112.040433,33.48022652,10/25/2018,10/25/2018
Donor Network of Arizona,Phoenix Children's Hospital," Heart, Kidney, Liver",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZCH,1919 E Thomas Rd,Phoenix,85016,Heart,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,-112.040433,33.48022652,10/25/2018,10/25/2018
Donor Network of Arizona,Banner-University Medical Center Phoenix," Kidney, Liver, Pancreas",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZGS,1441 N 12th St,Phoenix,85006,Kidney,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,-112.056349,33.46403138,10/25/2018,10/25/2018
Donor Network of Arizona,Banner-University Medical Center Phoenix," Kidney, Liver, Pancreas",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZGS,1441 N 12th St,Phoenix,85006,Pancreas,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,-112.056349,33.46403138,10/25/2018,10/25/2018
Donor Network of Arizona,Banner-University Medical Center Phoenix," Kidney, Liver, Pancreas",03P001,201 W Coolidge St,Phoenix,AZ,85013-2710,602-222-2200,AZGS,1441 N 12th St,Phoenix,85006,Liver,9,Region 9,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,-112.056349,33.46403138,10/25/2018,10/25/2018
